Median_House_Value,Distance_to_coast,Tot_Rooms,Median_Age,Population,Median_Income
142300,37265.75494,2598.0,30,2869,2.1377
185700,18057.8594,1951.0,36,1254,4.8438
352200,37921.70501,2131.0,50,753,6.7099
240900,45673.04562,3205.0,14,1439,5.7452
82800,66234.19023,958.0,27,580,2.1875
165000,24473.39944,2104.0,35,1659,4.0096
166700,15438.39496,397.0,34,250,1.675
99600,12091.1289,1315.0,29,1425,2.0272
157800,7818.90993,1197.0,30,695,3.4375
305400,12034.2307,1428.0,40,708,5.0766
67500,5390.52525,2301.0,27,847,1.7208
97200,18898.56053,1045.0,37,1666,1.7929
378000,13886.89549,2074.0,25,1273,4.7609
156500,30986.08232,1834.0,16,994,3.7266
177200,25994.78457,1507.0,35,1025,4.5833
189500,6006.429099,1457.0,34,735,3.9167
259900,18555.78373,3268.0,13,1431,5.7652
311000,16737.1214,3011.0,32,1287,5.0605
186400,29442.10118,603.0,44,588,2.0536
264500,16376.43967,5040.0,16,3150,4.2837
225000,22695.72994,1526.0,33,906,5.1782
105200,74867.90518,5959.0,17,4115,2.4053
182600,16242.24218,2223.0,46,968,4.26
67500,16731.11645,1263.0,35,950,1.8958
199000,33937.9625,1764.0,22,1379,3.5357
127300,110338.5668,3876.0,15,1960,2.902
65800,60051.74245,1072.0,31,781,1.6563
156800,28952.24687,1130.0,31,1533,4.2353
108000,80142.47659,1529.0,35,688,4.1083
280300,11529.34284,1614.0,18,692,7.9294
102900,72200.10125,3257.0,30,1804,3.5331
188800,30835.95072,2259.0,52,957,2.1827
174500,2832.314222,5416.0,22,2260,3.8038
235700,12410.59885,4005.0,19,1896,2.5268
162500,3769.754012,759.0,52,421,2.0548
150000,10201.63892,1553.0,23,1988,2.1375
85900,54651.68913,1532.0,52,782,1.8911
255000,8160.968757,581.0,40,298,2.4
125000,54167.61932,555.0,41,1492,2.2813
114300,65608.0273,2434.0,17,1558,2.9219
323800,3239.96266,2226.0,52,1177,4.8516
162900,19792.50818,4927.0,25,2756,2.7325
197500,18133.46443,1518.0,35,857,3.6917
172900,30091.29643,396.0,43,261,2.9044
292000,12491.79679,1336.0,36,678,5.5789
152700,3264.741468,2048.0,33,2074,2.0156
130000,3340.671619,5329.0,36,3469,2.0096
218000,7143.829144,5018.0,16,2524,5.1752
152500,22535.90575,1657.0,32,2071,2.1135
134100,3905.6158,1128.0,45,702,3.6719
241700,24946.12422,104.0,52,32,3.75
206300,23859.80058,1698.0,40,1280,2.625
156800,59616.81217,2614.0,18,1181,2.0432
183300,28903.94043,1753.0,52,982,3.4013
357500,4743.467248,1729.0,38,801,3.1364
202800,21469.55944,2161.0,33,1235,5.6454
186600,35144.65969,1270.0,39,1073,3.3088
296200,23135.74664,2852.0,16,1083,6.3761
186000,39371.70428,1339.0,32,817,2.8333
209400,95114.86301,3118.0,20,1405,6.0
311800,4656.443764,2453.0,52,1056,3.6859
227100,19371.23539,1609.0,26,1868,2.7038
247000,26004.08419,1867.0,42,927,4.325
350000,1690.236104,352.0,32,313,2.5742
452800,2489.751074,3494.0,44,693,3.6
204600,26937.72781,3753.0,10,1859,4.9946
170500,9485.755431,2171.0,4,928,4.1016
126800,5440.851975,1702.0,43,1227,1.7188
106300,15340.84915,4291.0,37,1941,1.7945
230600,79087.0878,4583.0,33,1760,6.3308
228100,3673.805287,432.0,40,264,3.8875
115300,55967.82877,914.0,31,556,3.7344
308800,7416.046998,1504.0,40,689,6.1244
222100,3557.90935,5476.0,20,2327,5.6637
234000,26839.01316,3192.0,44,1439,4.3693
203300,12323.06377,1774.0,36,934,4.8571
68000,67378.06515,1009.0,33,1027,2.5993
190500,16646.09554,1785.0,35,1033,4.5739
331200,2509.908714,2245.0,52,1091,3.5909
185800,29058.88648,5684.0,16,4203,3.1964
190800,9091.70787,848.0,37,314,2.3958
277500,33991.30786,5819.0,16,2306,4.6315
193800,19344.3096,1744.0,31,2034,2.2684
91300,112550.8591,3940.0,7,2140,3.0357
274400,4232.708521,1647.0,26,694,4.6875
98300,62025.56003,2101.0,34,1150,3.0909
259300,32261.09856,2394.0,11,1393,5.5875
294800,5098.661113,1651.0,35,707,5.6482
126500,80987.38786,1703.0,25,775,4.5455
144000,59651.91153,2000.0,11,1503,4.6167
372700,19720.33882,3811.0,28,1795,7.8383
195300,6072.0231,1044.0,31,762,3.038
160000,6039.258223,1026.0,52,469,2.875
67800,56766.59597,2120.0,40,1304,2.0368
73100,72368.49096,476.0,46,476,1.4511
234000,39600.50785,2203.0,42,1012,4.0714
232500,21201.44716,2934.0,17,2517,2.936
198100,25264.15797,1887.0,35,989,4.1321
61000,110607.7676,1284.0,21,537,1.95
131900,30428.59021,1856.0,44,1853,2.5033
158900,15390.02945,1243.0,16,1925,2.7632
137500,18697.91233,198.0,42,158,3.1563
70300,47980.86928,2679.0,23,1740,1.3679
162500,3663.429399,1180.0,52,1046,1.5603
257400,7621.960373,3497.0,52,1493,2.9044
153300,7773.085484,1485.0,28,820,4.069
250000,2795.631716,1855.0,52,1715,2.1289
187500,21744.3433,454.0,28,366,2.9853
398300,2550.702036,2198.0,40,1023,3.755
253200,18576.24564,1819.0,35,1336,3.4583
161700,65632.47843,3033.0,13,1363,4.0036
96300,73910.78456,1497.0,36,894,3.3066
294100,22255.29563,1812.0,44,822,6.7744
434700,26238.03949,227.0,2,114,3.1591
153200,20881.3852,4312.0,23,2317,2.7667
226200,25940.15526,2562.0,32,1222,4.0985
325900,23452.313,1170.0,52,604,2.6667
218300,11029.68884,1756.0,36,798,5.5581
131100,10565.31599,1710.0,36,861,2.8828
214000,25386.7718,2839.0,45,1768,3.1306
124100,23594.41826,4574.0,19,3045,2.065
269700,6376.230615,1168.0,44,509,2.7273
212500,2055.514806,2182.0,31,1069,2.9781
194100,22168.43067,1461.0,40,1322,4.3269
84400,44868.73577,1474.0,26,1065,1.375
243200,28656.50111,2231.0,34,1035,4.7917
156700,16604.25758,2410.0,28,2399,2.7339
92800,3594.495895,4143.0,46,2240,2.4201
151900,14954.97718,720.0,29,1045,3.1964
340800,7161.602174,1733.0,39,855,3.2308
116800,39311.16812,1985.0,23,1198,2.7734
283300,5757.731853,3319.0,22,1848,3.6673
393800,5867.624142,1340.0,49,660,4.163
294100,19663.27992,5870.0,5,1917,5.1998
101300,54462.81312,2876.0,16,1859,2.0878
125000,4920.813655,1632.0,27,1171,2.3173
53000,116325.1849,2559.0,33,1583,1.4727
269800,22498.58159,2752.0,36,1211,5.0526
274500,4556.028793,3453.0,47,1353,4.016
153400,19725.66517,2134.0,35,2248,2.2988
287200,15389.43024,1582.0,33,809,5.7059
191700,48500.60985,3499.0,17,1911,4.8894
322300,6249.607876,5675.0,23,2197,4.8693
251900,7234.344197,2619.0,51,922,4.6042
157700,52761.20348,2337.0,29,1054,4.2206
234300,15756.66418,1834.0,15,841,6.0634
124800,84722.88968,4527.0,16,2531,3.7065
204300,78314.00276,1440.0,22,774,3.9821
80400,10176.4649,2033.0,26,618,2.5685
241400,16009.47299,2479.0,13,1075,5.1017
230000,1737.887888,2058.0,52,1208,3.6429
112500,82484.32962,524.0,40,329,1.7188
196400,18410.67418,2066.0,36,942,5.2417
161800,47742.51077,2902.0,17,1652,5.6029
217300,11098.34136,1491.0,36,699,4.0781
216600,8871.192096,3191.0,32,1718,4.1548
105300,19076.83515,3050.0,24,1743,3.7413
90200,4829.759337,1661.0,17,948,2.7639
140200,108198.1231,4577.0,11,1944,4.0675
106800,13262.8804,1818.0,35,1444,2.745
178000,29388.48788,4675.0,16,2188,4.6674
248900,5572.290827,1230.0,46,895,5.3913
192000,5372.326006,4769.0,22,5534,2.4167
154700,23773.2366,1172.0,35,1741,2.4596
224600,6738.707634,2395.0,23,1309,4.9779
157800,59389.00651,2316.0,34,956,4.337
350000,3829.370304,991.0,27,543,4.7188
248000,20628.36766,3817.0,24,1656,4.25
446600,4857.632033,2835.0,38,1148,5.9277
430900,28237.36991,3032.0,26,1208,5.4683
211600,3024.428823,1520.0,46,815,2.8036
331100,5461.951645,4768.0,19,2199,6.1896
174500,2415.046027,1672.0,27,1723,2.0458
133700,34564.78045,1801.0,23,548,2.5052
218200,3881.676339,3171.0,52,1498,3.1795
400000,2367.164388,1682.0,47,837,5.2806
234100,5663.658423,3711.0,26,1902,5.5599
142600,30032.19441,1384.0,30,2054,3.0132
327700,12838.72012,5686.0,8,3250,4.2782
241000,4501.835357,1153.0,52,481,2.6411
303700,6127.337868,1742.0,35,812,5.6704
150800,7016.677244,1279.0,50,675,1.9028
116000,93802.06727,4221.0,16,1516,2.3816
129900,29503.4011,1439.0,52,738,2.2262
127100,12876.37389,2680.0,22,1644,2.1949
169400,24021.77552,4609.0,20,5349,2.7121
230500,58012.32978,3445.0,19,1635,5.0681
255100,14792.20432,2174.0,19,1645,5.0362
76900,3256.835746,1264.0,52,591,1.7778
376200,25301.92122,2422.0,34,1010,5.6494
199000,67693.90132,1595.0,27,610,4.6
250300,2888.376519,1474.0,48,998,4.0781
356300,32174.79013,1024.0,25,357,7.0598
307100,9851.092712,1498.0,44,848,2.8438
151400,47268.62658,957.0,35,804,3.3322
137500,35966.23973,806.0,49,698,2.3654
264000,16217.64691,4138.0,15,2001,4.8419
400000,5181.450233,48.0,26,19,7.7197
81000,116171.0229,3254.0,10,923,1.8
194100,8061.812832,1266.0,36,606,3.9702
75500,8345.654078,2159.0,35,1694,2.1776
166300,28735.83706,1165.0,32,997,0.9817
181900,21391.00899,1668.0,44,1143,3.2083
90400,12482.06443,1274.0,39,975,1.5114
104200,60389.663,5407.0,16,2523,2.0471
168200,24033.26031,2410.0,33,2106,2.2422
92600,14873.47426,1137.0,44,747,2.0
167800,19913.15412,4814.0,17,3013,3.2369
100400,5007.690566,998.0,47,597,3.1587
200000,7924.679119,736.0,29,584,3.6167
248500,3184.134391,1049.0,52,374,4.1458
110700,13121.57267,894.0,22,754,2.0096
106200,114380.6869,2387.0,17,1204,4.0529
165100,24641.95346,1566.0,25,784,3.075
337500,5652.969626,3807.0,31,1581,3.293
205800,29183.93126,2749.0,40,1375,4.825
280100,21772.70906,3082.0,15,1268,3.7604
305300,13402.2479,3715.0,27,1631,6.2179
166600,16855.92599,3399.0,27,2465,3.099
168800,5430.902386,1073.0,43,660,2.0529
199200,28347.88254,4742.0,14,2149,4.5152
104000,53250.09498,2341.0,36,2138,2.3347
140000,73542.56109,3111.0,20,1000,1.5982
223000,19792.53245,2019.0,45,1549,4.6111
190200,5424.11533,3958.0,31,1924,5.4605
217100,80433.18305,5305.0,26,1818,6.1461
170800,40793.5753,1814.0,25,1187,3.3523
322700,12074.9143,2510.0,32,1160,4.9087
168900,20479.87078,2705.0,20,1198,3.7159
209100,22014.81889,1701.0,17,941,4.3218
148900,24085.87817,1569.0,32,835,3.0465
193800,27823.97796,3960.0,20,1729,3.0441
139700,29659.91706,2731.0,14,1109,3.1382
97100,119654.0318,2037.0,16,1267,2.4556
81300,106254.6901,2390.0,30,1409,2.1484
209000,22190.37102,2753.0,35,1592,2.7875
177500,13044.61371,5764.0,5,3161,4.4531
86400,6206.88098,1980.0,33,1626,1.4856
278700,14544.07284,5736.0,15,2529,6.4114
151600,18816.48977,1977.0,42,2406,2.5913
203900,5846.068225,2506.0,43,1230,3.4211
156300,13547.24017,3050.0,16,1444,5.2463
340900,7563.340881,2486.0,17,876,6.1007
100000,16534.75984,2833.0,42,2542,1.3479
233300,25435.38464,775.0,52,315,5.0677
100000,18525.32002,504.0,30,529,1.9531
124400,91178.2254,4488.0,15,2114,2.9484
177400,14941.41329,407.0,23,647,3.775
73100,70926.21447,613.0,26,431,1.3977
118800,14060.23839,562.0,11,504,2.0161
136700,4582.255796,2003.0,34,1226,3.0613
261600,23763.64182,2784.0,29,1278,4.3882
186300,17196.68918,2265.0,31,1617,3.4583
186700,13356.74327,5268.0,30,4480,4.015
289800,27629.35508,4386.0,22,1915,6.6897
148000,28952.24687,1002.0,36,1312,3.024
175000,28861.75473,277.0,39,182,2.3958
68500,79245.16509,1622.0,35,1296,1.9286
185200,5612.800907,767.0,47,569,2.9514
183300,24646.62843,1389.0,40,841,3.1094
174100,15239.89443,2163.0,36,915,4.7188
162500,60470.30655,19.0,16,166,0.536
128300,8456.565533,4325.0,34,2609,2.8489
250000,17537.43997,3343.0,42,3480,1.9923
116100,20328.26852,1193.0,35,1784,1.8652
165300,112561.2974,1794.0,8,690,3.662
142900,9463.554516,2280.0,27,1235,1.9392
222100,11715.0728,2101.0,36,1756,2.9344
387900,3630.934883,2459.0,52,1012,4.0568
279900,41634.49785,2201.0,30,1194,4.1136
118500,76293.06058,2681.0,17,1621,3.875
357900,31937.58683,3121.0,25,1278,7.0217
225000,4255.8267,4599.0,21,2756,2.9817
181400,21717.21192,2758.0,26,1291,2.925
103400,19969.03064,2615.0,37,2484,1.9208
121600,1090.919674,1258.0,17,885,3.05
239400,32463.60225,1444.0,37,624,5.76
220700,32499.54772,1626.0,44,1063,2.4348
83000,72353.04161,2990.0,21,2108,2.0135
113300,5799.521768,930.0,40,564,1.3281
156300,41295.96,961.0,19,479,3.3438
161000,14476.11454,2326.0,42,1832,3.1713
119800,36109.87186,876.0,52,426,3.0865
122400,7066.568076,2696.0,21,1208,2.275
127000,23284.17245,2453.0,12,1251,2.4122
162300,17859.66093,3361.0,16,1754,5.1098
210900,24908.00673,2183.0,47,1445,3.6667
271500,5285.929966,3143.0,27,1760,4.6957
248200,30009.79924,1830.0,17,1110,2.4821
112900,52983.74838,1891.0,19,1693,2.7813
63700,111934.8727,3815.0,20,3450,2.0174
137300,54309.3762,5662.0,21,3067,3.3482
170100,62218.96804,4314.0,27,1662,5.0997
108300,2599.638961,1207.0,19,721,1.1111
183100,21391.00899,2879.0,47,2229,3.2599
149600,15885.28813,1330.0,13,719,3.8295
258400,20740.2881,2795.0,27,1702,3.7798
357300,4322.915621,2715.0,36,1303,4.6042
206300,3024.428823,1077.0,36,518,3.0208
318200,11148.41575,3929.0,23,1858,6.8645
84700,114636.9218,3691.0,26,2072,2.1553
294300,18322.9017,1907.0,35,912,5.9567
147500,82321.5096,503.0,26,293,3.7083
148400,20356.7387,941.0,15,366,4.3636
68100,76503.50146,1457.0,52,1238,2.0089
270800,10232.43993,32.0,8,26,4.1944
136900,8766.0439,2392.0,23,3074,2.5195
187800,15320.75488,1527.0,44,608,4.0357
311100,4064.604279,1901.0,32,946,2.7264
305000,28342.15741,2361.0,27,1782,3.2614
346900,22693.17125,2423.0,10,1213,6.5635
103900,51204.35637,1378.0,43,708,2.3542
185400,3740.651131,1035.0,27,782,4.2212
87500,11302.27403,1937.0,27,1211,2.75
308800,25746.9837,3028.0,27,1284,4.5833
61200,115273.7373,2796.0,26,2017,1.8355
109500,14194.69016,2009.0,43,1095,2.8299
225000,19203.86774,2186.0,16,908,4.575
76800,22439.37051,1212.0,24,1202,1.7875
200800,15274.39994,2536.0,23,2012,4.1406
216800,47012.79418,3087.0,17,1365,6.4667
231300,15329.54654,2169.0,36,1018,4.3906
151800,36604.9387,1375.0,35,1015,4.0521
170600,36485.57764,1513.0,31,1396,2.4706
88800,103632.6623,2231.0,26,987,2.4792
350000,6964.57896,1176.0,47,564,3.2059
105100,8588.463367,1942.0,47,1074,2.2361
183300,6011.572726,1746.0,18,1268,3.256
183400,21016.40623,1585.0,36,1205,4.5306
191100,26004.08419,2692.0,16,1674,2.6763
87500,96063.59213,335.0,18,189,1.2273
148200,5003.302227,2111.0,52,772,4.775
88600,86769.45959,2036.0,26,1343,3.6331
187500,19278.02216,78.0,20,120,1.0938
305200,11145.52967,539.0,15,287,6.3427
128700,35248.81797,1329.0,33,683,4.3687
244400,28354.74411,1162.0,47,781,4.6528
94800,14583.03029,2044.0,40,2150,2.1437
146900,37050.94919,1381.0,34,1020,4.025
265300,12366.08913,1250.0,47,607,4.0417
452100,1288.753723,5066.0,39,1915,3.821
175700,27469.84367,3996.0,16,1673,5.778
121900,18898.56053,1553.0,39,2271,1.7378
139400,6534.583344,2115.0,45,1530,2.4167
92600,76292.75532,2967.0,17,1387,2.0417
327500,24880.28814,2859.0,27,1144,5.0822
187200,8061.812832,1463.0,17,695,4.5859
130800,51280.17816,5173.0,28,3502,3.8438
127100,52491.65774,2787.0,28,1684,4.0256
252400,4512.604711,2993.0,42,1594,4.4821
99300,94007.34754,1750.0,23,1012,3.4706
241500,18727.63494,3416.0,21,1862,4.7813
105600,76796.47301,1008.0,26,568,3.3516
282600,31432.13803,4454.0,8,2595,4.5615
93300,81729.21679,2364.0,40,968,3.4906
195200,7543.892465,1656.0,39,866,2.8824
149200,28020.89842,1734.0,35,2053,2.1442
365600,6997.556188,4389.0,29,2069,4.1071
240700,15521.9948,2749.0,24,1367,4.025
348700,7184.260998,2746.0,24,1076,5.8635
187900,82711.59894,4913.0,8,2005,5.4413
344400,14961.2117,1831.0,16,1347,3.8426
212500,18876.96528,1495.0,32,905,2.625
60400,18649.10998,1712.0,23,1370,1.275
354200,13591.14879,542.0,36,231,4.9
187500,27823.97796,1107.0,13,616,0.8185
175400,22074.04034,1976.0,33,1379,3.8542
106700,10269.11392,2694.0,52,1152,3.0806
196700,14092.0409,2283.0,5,999,5.0249
127200,24533.09911,1500.0,11,899,4.5568
