Median_House_Value;Median_Income;Median_Age;Tot_Rooms;Tot_Bedrooms;Population;Households;Latitude;Longitude;Distance_to_coast;Distance_to_LA;Distance_to_SanDiego;Distance_to_SanJose;Distance_to_SanFrancisco;OcPrx_<1H OCEAN;OcPrx_INLAND;OcPrx_ISLAND;OcPrx_NEAR BAY;OcPrx_NEAR OCEAN
352100;7.2574;52;1467.0;190;496;177;37.85;-122.24;8259.085109;554610.7171;733525.6829;64867.28983;18811.48745;0;0;0;1;0
342200;3.8462;52;1627.0;280;565;259;37.85;-122.25;7768.086571;555194.2661;734095.2907;65287.13841;18031.04757;0;0;0;1;0
269700;4.0368;52;919.0;213;413;193;37.85;-122.25;7768.086571;555194.2661;734095.2907;65287.13841;18031.04757;0;0;0;1;0
299200;3.6591;52;2535.0;489;1094;514;37.84;-122.25;6843.020847;554364.4069;733249.8086;64315.99174;17538.20997;0;0;0;1;0
241400;3.12;52;3104.0;687;1157;647;37.84;-122.25;6843.020847;554364.4069;733249.8086;64315.99174;17538.20997;0;0;0;1;0
226700;2.0804;42;2555.0;665;1206;595;37.84;-122.26;6363.948013;554949.7495;733820.8244;64751.46386;16744.40658;0;0;0;1;0
261100;3.6912;52;3549.0;707;1551;714;37.84;-122.25;6843.020847;554364.4069;733249.8086;64315.99174;17538.20997;0;0;0;1;0
281500;3.2031;52;2202.0;434;910;402;37.85;-122.26;7349.620842;555778.6577;734665.575;65716.11772;17260.03207;0;0;0;1;0
241800;3.2705;52;3503.0;752;1504;734;37.85;-122.26;7349.620842;555778.6577;734665.575;65716.11772;17260.03207;0;0;0;1;0
213500;3.075;52;2491.0;474;1098;468;37.85;-122.26;7349.620842;555778.6577;734665.575;65716.11772;17260.03207;0;0;0;1;0
191300;2.6736;52;696.0;191;345;174;37.84;-122.26;6363.948013;554949.7495;733820.8244;64751.46386;16744.40658;0;0;0;1;0
159200;1.9167;52;2643.0;626;1212;620;37.85;-122.26;7349.620842;555778.6577;734665.575;65716.11772;17260.03207;0;0;0;1;0
140000;2.125;50;1120.0;283;697;264;37.85;-122.26;7349.620842;555778.6577;734665.575;65716.11772;17260.03207;0;0;0;1;0
152500;2.775;52;1966.0;347;793;331;37.85;-122.27;7016.677244;556363.8892;735236.5342;66154.05014;16499.7622;0;0;0;1;0
155500;2.1202;52;1228.0;293;648;303;37.85;-122.27;7016.677244;556363.8892;735236.5342;66154.05014;16499.7622;0;0;0;1;0
158700;1.9911;50;2239.0;455;990;419;37.84;-122.26;6363.948013;554949.7495;733820.8244;64751.46386;16744.40658;0;0;0;1;0
162900;2.6033;52;1503.0;298;690;275;37.84;-122.27;5976.288058;555535.9314;734392.515;65195.93619;15959.48366;0;0;0;1;0
147500;1.3578;40;751.0;184;409;166;37.85;-122.27;7016.677244;556363.8892;735236.5342;66154.05014;16499.7622;0;0;0;1;0
159800;1.7135;42;1639.0;367;929;366;37.85;-122.27;7016.677244;556363.8892;735236.5342;66154.05014;16499.7622;0;0;0;1;0
113900;1.725;52;2436.0;541;1015;478;37.84;-122.27;5976.288058;555535.9314;734392.515;65195.93619;15959.48366;0;0;0;1;0
99700;2.1806;52;1688.0;337;853;325;37.84;-122.27;5976.288058;555535.9314;734392.515;65195.93619;15959.48366;0;0;0;1;0
132600;2.6;52;2224.0;437;1006;422;37.84;-122.27;5976.288058;555535.9314;734392.515;65195.93619;15959.48366;0;0;0;1;0
